Filename                                                                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
include/ogdf/basic/IncNodeInserter.h                                                              2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
include/ogdf/basic/InducedSubgraph.h                                                            180                37    79.44%           4                 0   100.00%         198                48    75.76%          88                21    76.14%
include/ogdf/basic/Layout.h                                                                      15                 9    40.00%          12                 9    25.00%          12                 9    25.00%           0                 0         -
include/ogdf/basic/LayoutModule.h                                                                 3                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
include/ogdf/basic/LayoutStandards.h                                                             30                19    36.67%          30                19    36.67%          46                35    23.91%           0                 0         -
include/ogdf/basic/List.h                                                                       668               204    69.46%         125                17    86.40%         779               175    77.54%         270               115    57.41%
include/ogdf/basic/Logger.h                                                                      83                37    55.42%          37                25    32.43%         103                64    37.86%          44                20    54.55%
include/ogdf/basic/Math.h                                                                        24                 6    75.00%          13                 4    69.23%          45                12    73.33%           6                 1    83.33%
include/ogdf/basic/Module.h                                                                       7                 1    85.71%           3                 0   100.00%           6                 0   100.00%           6                 3    50.00%
include/ogdf/basic/NearestRectangleFinder.h                                                       9                 9     0.00%           9                 9     0.00%          22                22     0.00%           0                 0         -
include/ogdf/basic/Observer.h                                                                    39                 9    76.92%          10                 0   100.00%          40                 0   100.00%          16                 7    56.25%
include/ogdf/basic/PQTree.h                                                                     983               176    82.10%          46                 5    89.13%        1309               132    89.92%         620               115    81.45%
include/ogdf/basic/PreprocessorLayout.h                                                           8                 0   100.00%           4                 0   100.00%           4                 0   100.00%           0                 0         -
include/ogdf/basic/PriorityQueue.h                                                               69                 8    88.41%          28                 0   100.00%          56                 0   100.00%          10                 5    50.00%
include/ogdf/basic/Queue.h                                                                       11                 0   100.00%          11                 0   100.00%          19                 0   100.00%           0                 0         -
include/ogdf/basic/RegisteredArray.h                                                            172                18    89.53%          65                 1    98.46%         243                11    95.47%          56                10    82.14%
include/ogdf/basic/RegisteredSet.h                                                               21                 1    95.24%           8                 0   100.00%          31                 2    93.55%          10                 1    90.00%
include/ogdf/basic/Reverse.h                                                                      5                 0   100.00%           4                 0   100.00%           6                 0   100.00%           0                 0         -
include/ogdf/basic/SList.h                                                                      283                45    84.10%          72                 9    87.50%         360                50    86.11%         102                22    78.43%
include/ogdf/basic/Skiplist.h                                                                    54                14    74.07%          15                 2    86.67%          95                13    86.32%          32                11    65.62%
include/ogdf/basic/SortedSequence.h                                                             182                26    85.71%          35                 0   100.00%         204                 4    98.04%          72                14    80.56%
include/ogdf/basic/Stopwatch.h                                                                   30                 4    86.67%          18                 4    77.78%          23                 4    82.61%           2                 0   100.00%
include/ogdf/basic/System.h                                                                       6                 2    66.67%           6                 2    66.67%          14                 2    85.71%           0                 0         -
include/ogdf/basic/Thread.h                                                                       8                 1    87.50%           5                 1    80.00%          16                 1    93.75%           0                 0         -
include/ogdf/basic/Timeouter.h                                                                   12                 5    58.33%          10                 5    50.00%          13                 8    38.46%           0                 0         -
include/ogdf/basic/basic.h                                                                        7                 6    14.29%           2                 1    50.00%          11                10     9.09%           4                 4     0.00%
include/ogdf/basic/comparer.h                                                                    52                37    28.85%          40                33    17.50%          48                37    22.92%           4                 0   100.00%
include/ogdf/basic/exceptions.h                                                                  22                22     0.00%          15                15     0.00%          15                15     0.00%           0                 0         -
include/ogdf/basic/extended_graph_alg.h                                                          35                 4    88.57%           8                 2    75.00%          70                18    74.29%          18                 1    94.44%
include/ogdf/basic/geometry.h                                                                   358                93    74.02%          94                23    75.53%         422               109    74.17%         182                60    67.03%
include/ogdf/basic/graphics.h                                                                    82                 5    93.90%          34                 2    94.12%         124                 6    95.16%          18                 5    72.22%
include/ogdf/basic/heap/HeapBase.h                                                                4                 1    75.00%           3                 1    66.67%           5                 3    40.00%           0                 0         -
